Age,BCa,d11B,LiCa,LiMg,MgCa,SrCa,UCa,Extn
1991,0.4509989,23.61254216,0.006159447,1.366187868,4.513341,8.964161,0.001084993,1.5433
1991.17,0.43312216,23.5600475,0.006014657,1.287664341,4.671854,8.923191,0.001051157,1.3258
1991.33,0.45053969,23.63479466,0.006296347,1.383896632,4.556785,8.992846,0.001081282,2.2803
1991.5,0.47847845,23.45283973,0.006663383,1.549951283,4.301649,9.098665,0.001134905,1.605
1991.67,0.48032754,23.31739447,0.006669782,1.560927374,4.273416,9.111708,0.001144543,1.0533
1991.83,0.46050702,23.16599489,0.006433129,1.450973612,4.438255,9.026432,0.00111604,1.2808
1992,0.43383432,22.72889382,0.006201545,1.326451923,4.679498,8.933464,0.001070578,1.48
1992.17,0.42003623,22.67960023,0.006134366,1.229480807,4.990252,8.89377,0.001031612,1.6619
1992.33,0.43828903,22.91687475,0.006445993,1.293574956,4.989828,8.949212,0.001037175,2.0827
1992.5,0.47703515,23.37420246,0.006700063,1.502749663,4.469398,9.08146,0.001117449,2.0685
1992.67,0.4895337,23.7652652,0.006671495,1.564276054,4.267155,9.110875,0.001146937,1.5662
1992.83,0.4768181,23.78006617,0.006485718,1.479785858,4.386278,9.050177,0.001117781,0.998
1993,0.44530272,23.16659221,0.006308731,1.352587439,4.667732,8.934445,0.001078005,1.9553
1993.17,0.42280666,22.74507459,0.006219732,1.271601651,4.891891,8.897957,0.001051477,2.22
1993.33,0.43918459,22.75213124,0.006480417,1.356428669,4.784675,8.969081,0.001080715,1.8105
1993.5,0.48528101,23.43414792,0.006784465,1.567975641,4.334583,9.128531,0.00116139,1.5102
1993.67,0.49012382,23.44326261,0.00668696,1.587509909,4.213222,9.126149,0.001167966,1.369
1993.83,0.46252357,22.86949748,0.006436568,1.481693872,4.348179,9.034305,0.001142322,1.2385
1994,0.43042537,23.23343118,0.006097813,1.347711318,4.52602,8.942144,0.001107588,1.5479
1994.17,0.43624455,23.82564812,0.006041192,1.325792531,4.556757,8.911088,0.001081601,0.7111
1994.33,0.475626,24.14010205,0.006311108,1.404222717,4.496872,8.987021,0.001090547,1.1448
1994.5,0.51401127,24.27553739,0.006733912,1.589100589,4.242889,9.118442,0.001159711,1.5018
1994.67,0.52344323,24.42688228,0.006757049,1.684936469,4.010669,9.17835,0.001210473,1.0189
1994.83,0.47582614,23.69260492,0.006430154,1.51382983,4.255164,9.03216,0.00115169,1.1103
1995,0.42023924,23.09951793,0.006112703,1.301993087,4.701448,8.900815,0.001080803,1.6956
1995.17,0.40401246,22.95365229,0.006180855,1.211995542,5.099956,8.85159,0.001012188,1.7208
1995.33,0.42980889,23.20574744,0.006414815,1.322561638,4.856257,8.910799,0.001049342,1.1433
1995.5,0.47267077,23.4147335,0.006817733,1.543295541,4.423963,9.081937,0.001136671,1.6389
1995.67,0.50746914,24.12794922,0.006758704,1.665382099,4.060374,9.16898,0.001203276,1.0013
1995.83,0.46298072,23.48936305,0.006402244,1.478176159,4.347307,9.019362,0.001140169,1.5056
1996,0.40046497,22.63449789,0.00600329,1.252208697,4.798083,8.849276,0.001071304,1.5602
1996.17,0.39521385,22.81309152,0.006019869,1.205513448,4.993806,8.832805,0.00102751,1.53
1996.33,0.41542506,22.82879411,0.006281826,1.291076376,4.870856,8.920661,0.001076656,1.7285
1996.5,0.45411458,22.90838373,0.00656807,1.511213322,4.356434,9.058837,0.001179455,2.0829
1996.67,0.48298874,23.60006369,0.006639979,1.636697422,4.057972,9.129827,0.00122621,1.2656
1996.83,0.45196706,23.39756019,0.00632636,1.48268689,4.273064,9.028508,0.001170135,1.83
1997,0.41213218,22.92039768,0.005959001,1.291820438,4.613975,8.911916,0.001099767,1.8311
1997.17,0.40184034,22.84529281,0.005958023,1.271328672,4.688452,8.901864,0.001088721,1.3489
1997.33,0.4359881,23.06686466,0.006242713,1.417416053,4.410086,9.018055,0.00114889,1.2944
1997.5,0.47742679,23.42806146,0.006470992,1.587663701,4.084082,9.150766,0.001211004,1.063
1997.67,0.47676189,23.29277979,0.006273447,1.589473532,3.947709,9.153239,0.001210404,0.9456
1997.83,0.43943393,22.40648769,0.005955479,1.455335054,4.09648,9.08482,0.001194384,0.9214
1998,0.41332647,21.95794317,0.005765289,1.38213952,4.171259,9.067562,0.001218494,1.0385
1998.17,0.40801233,22.29615654,0.005646514,1.322884138,4.271396,9.034786,0.001212664,0.8257
1998.33,0.40410023,22.89500946,0.005501402,1.282461936,4.291341,9.000013,0.001186717,0.3532
1998.5,0.43912492,24.18135035,0.005467783,1.378555635,3.983316,9.070439,0.001235324,0.2536
1998.67,0.47381542,25.2296724,0.005532855,1.421498322,3.900038,9.087118,0.001238447,0.2413
1998.83,0.46900417,25.08121249,0.00566659,1.313447813,4.325455,8.958356,0.001126254,0.3988
1999,0.42197631,23.69103623,0.005758972,1.198458685,4.807792,8.82291,0.001029569,0.6775
1999.17,0.38855611,22.72416433,0.00580058,1.151296611,5.038492,8.779421,0.000990237,1.0238
1999.33,0.4298157,23.09289459,0.006281933,1.307356796,4.824783,8.912218,0.001047593,1.7397
1999.5,0.48136061,23.64985582,0.006593202,1.546302066,4.275891,9.104161,0.001167828,0.9815
1999.67,0.49868692,23.8502905,0.006469579,1.631529597,3.96871,9.163849,0.001231669,0.8333
1999.83,0.46067302,22.977889,0.006283597,1.48306458,4.250441,9.030784,0.001173717,1.0417
2000,0.41910953,22.33517288,0.006105577,1.292426526,4.73033,8.896352,0.001089304,1.3126
2000.17,0.41025848,22.5746004,0.006061769,1.236907906,4.901418,8.867945,0.001058587,1.7708
