Age,BCa,LiCa,LiMg,MgCa,SrCa,UCa
2004.416667,411.7418301,0.007209295,1.400316014,5.152048778,8.92851931,0.00092631
2004.583333,416.6726465,0.007232679,1.443339961,5.010869583,8.973064542,0.00095616
2004.75,403.5619587,0.006896433,1.372156084,5.027744697,8.908080409,0.000945844
2004.916667,386.1291106,0.006614591,1.268179558,5.22671872,8.83563938,0.000923111
2005.086301,372.9968033,0.0065155,1.191749225,5.469778258,8.798374836,0.000903156
2005.247945,382.6760164,0.006797755,1.259756216,5.399534265,8.852346772,0.000918366
2005.415068,406.829387,0.007146782,1.390286398,5.145354504,8.956849477,0.000937581
2005.582192,415.0202946,0.007131112,1.421988264,5.014955404,8.979065881,0.000954248
2005.749315,400.8336502,0.00676269,1.33211747,5.080696042,8.935378343,0.000962282
2005.916438,376.5222682,0.006400969,1.215784209,5.2670412,8.841382267,0.000939386
2006.086301,370.0078541,0.006562956,1.195310656,5.490323234,8.838417363,0.000918848
2006.247945,389.72855,0.007028278,1.284775578,5.477184287,8.89970378,0.000909529
2006.415068,412.6837929,0.00718483,1.402614566,5.129827094,8.987296797,0.000942609
2006.582192,421.9208814,0.007155303,1.46345078,4.88946338,9.018245785,0.000976341
2006.749315,412.646158,0.006896841,1.404383421,4.912780192,8.968195157,0.000969354
2006.916438,392.9466298,0.00661095,1.298688973,5.098081148,8.885161606,0.000946984
2007.086301,374.6321484,0.006618966,1.228297962,5.390108345,8.842318868,0.000920759
2007.247945,388.3084701,0.006889307,1.292264946,5.336866395,8.878812505,0.000928926
2007.415068,409.7900674,0.00706718,1.39197041,5.081766189,8.959279146,0.000963302
2007.582192,418.9641517,0.007083824,1.455201662,4.871501645,8.993590294,0.000990101
2007.749315,397.8950082,0.006791493,1.342422202,5.064643638,8.92718104,0.000971435
2007.916438,372.1071515,0.006482183,1.222394409,5.306327492,8.851698449,0.00095285
2008.086066,371.1284778,0.006738351,1.232072986,5.470685042,8.833708927,0.000923013
2008.25,395.0974833,0.007196585,1.349637748,5.336514417,8.90388603,0.000932805
2008.416667,410.5151426,0.007393923,1.465374601,5.049316777,8.990764429,0.000971094
2008.583333,410.7182392,0.007314072,1.472863347,4.970079135,9.028183876,0.000986969
2008.75,391.0073151,0.006956174,1.344664036,5.17950678,8.931233232,0.000968121
2008.916667,367.7146974,0.006570118,1.215325032,5.409367208,8.824544693,0.000927948
2009.086301,370.0467467,0.006678573,1.214638207,5.498649594,8.820208347,0.000911216
2009.247945,376.199489,0.007004132,1.26430234,5.540885623,8.857271054,0.000905227
2009.415068,406.4280677,0.007403295,1.374961248,5.388586802,8.931946847,0.000920364
2009.582192,414.5388678,0.007344859,1.445465982,5.082043904,8.974160769,0.000947849
