Age,BCa,LiCa,LiMg,MgCa,SrCa,UCa
2003.247945,375.805711,0.006352031,1.306481692,4.863707214,9.00380245,0.001082023
2003.415068,399.4473473,0.006576383,1.42336201,4.625878222,9.095870139,0.001117912
2003.582192,416.0098503,0.006706578,1.499730187,4.473006891,9.132141661,0.001134231
2003.749315,405.6384446,0.006644527,1.448511096,4.589653904,9.076463564,0.0011173
2003.916438,370.6163445,0.00634248,1.334138189,4.755258644,8.993032275,0.001084035
2004.086066,360.1266862,0.006228241,1.300555027,4.790450141,8.957984956,0.001074174
2004.25,380.1159392,0.00640746,1.371101968,4.675647061,9.011143382,0.001092715
2004.416667,413.814153,0.006566259,1.44691343,4.541425821,9.074206692,0.001118377
2004.583333,426.299201,0.006674927,1.475244371,4.525019888,9.08765388,0.001117674
2004.75,411.7498765,0.006683933,1.434769584,4.664478788,9.042503713,0.001085014
2004.916667,380.8529146,0.006502646,1.322594911,4.920476496,8.962786129,0.001040279
2005.086301,365.6934214,0.006379872,1.287330017,4.956369572,8.931168696,0.001054301
2005.247945,378.7394775,0.006413363,1.341155291,4.78456239,8.980013378,0.001079065
2005.415068,408.6023314,0.006627028,1.466076264,4.52507108,9.074299571,0.00112482
2005.582192,424.5221432,0.006757535,1.516846225,4.455265836,9.10278317,0.001131906
2005.749315,409.205504,0.006718823,1.430977187,4.704911332,9.049090026,0.001087201
2005.916438,366.0651254,0.006427407,1.289233653,4.98744944,8.95354145,0.001048528
2006.086301,358.1965245,0.006323632,1.280819344,4.937516355,8.937221796,0.001058249
2006.247945,377.9438872,0.006467244,1.344440202,4.813538023,8.992374321,0.001072121
2006.415068,411.094518,0.006685592,1.503361794,4.455177156,9.109599734,0.001122777
2006.582192,425.1916773,0.006757148,1.553551314,4.350266075,9.140085195,0.00114448
2006.749315,419.7278284,0.006711649,1.494348441,4.495329318,9.074209057,0.001120392
2006.916438,395.9172315,0.006494037,1.385288168,4.691424838,9.001072819,0.001090157
2007.086301,385.6033116,0.006328958,1.333549886,4.745902125,8.981580503,0.001086433
2007.247945,393.9752981,0.006340067,1.36410765,4.652005034,9.015948772,0.00110623
2007.415068,409.4986877,0.006469569,1.447824346,4.471628359,9.092541029,0.001138872
2007.582192,422.0393535,0.006647201,1.523944634,4.364644584,9.13723382,0.001156137
2007.749315,404.9809033,0.006537382,1.436267683,4.558196492,9.057790717,0.001127964
2007.916438,378.5228485,0.006351743,1.30954164,4.852880404,8.974161461,0.001079738
2008.086066,375.6974676,0.006299151,1.305305007,4.82627025,8.977691349,0.001088051
2008.25,387.2461103,0.006424308,1.365643577,4.707336712,9.053937698,0.001127902
2008.416667,409.6531344,0.006585836,1.44390906,4.564660861,9.116868481,0.00116426
2008.583333,428.1000079,0.006677073,1.486232995,4.497449589,9.12444906,0.001174267
2008.75,403.7102364,0.006569805,1.38434031,4.753603077,9.047515272,0.001125869
2008.916667,359.5171708,0.006319831,1.26877549,4.983943706,8.964875242,0.001085445
2009.086301,363.555587,0.006206052,1.273821196,4.872444967,8.963789424,0.001085772
2009.247945,372.4721812,0.006371029,1.316090371,4.842116606,9.001388009,0.001099708
2009.415068,383.8448179,0.006579207,1.407840462,4.675623112,9.069314395,0.00114715
2009.582192,396.1927574,0.006623974,1.430077396,4.632258217,9.098495707,0.001152843
2009.749315,395.0066552,0.006687998,1.388069992,4.821245474,9.043529582,0.001126554
2009.916438,373.1723789,0.00658808,1.307549523,5.039581546,8.978180451,0.00109389
2010.086301,360.0176512,0.006349721,1.27219202,4.991031549,8.95804211,0.001095221
2010.247945,369.0982021,0.006387746,1.316617082,4.854407659,8.994872977,0.001110592
2010.415068,388.4598925,0.006493274,1.409653062,4.609452308,9.063404075,0.001140235
2010.582192,404.105953,0.006513246,1.433737507,4.545247315,9.08595338,0.001150427
2010.749315,396.0822468,0.006380893,1.327809043,4.811066688,8.998992,0.001108698
2010.916438,376.1858902,0.006304249,1.259323457,5.008322037,8.947134772,0.001087942
2011.086301,365.1566285,0.006402425,1.242093787,5.154296786,8.957797224,0.001081167
2011.247945,379.3784569,0.006657444,1.310616157,5.083783384,9.022289538,0.001094738
2011.415068,402.7200674,0.006851683,1.417171121,4.839058621,9.105145788,0.001124923
2011.582192,413.0700994,0.006943775,1.440405011,4.820832222,9.127719131,0.001136789
2011.749315,400.7147359,0.006897511,1.346465908,5.133567174,9.047901654,0.001103867
2011.916438,364.9820141,0.006645572,1.208754405,5.501946653,8.908758983,0.001044012
2012.086066,355.9894518,0.006527612,1.210136681,5.398072672,8.911784573,0.001048035
2012.25,373.417713,0.006583032,1.295212926,5.086895933,8.986571769,0.001078486
2012.416667,399.511488,0.006652416,1.378280698,4.831765737,9.07930286,0.001118631
2012.583333,420.367318,0.006604709,1.410183384,4.68376483,9.106587008,0.00113884
2012.75,417.6746538,0.006498774,1.362097344,4.773613798,9.042934639,0.001105803
2012.916667,401.0234835,0.006420935,1.302284898,4.932355285,8.969845718,0.00105406
