Age,BaCa,BCa,MgCa,SrCa,UCa,Distance
1983.154,0.00317,0.44,4.195,8.694,0.001,47.55
1983.173,0.0029,0.435,4.205,8.755,0.000998,47.18
1983.192,0.00281,0.427,4.137,8.791,0.00101,46.81
1983.212,0.00293,0.435,4.065,8.797,0.00102,46.44
1983.231,0.00313,0.44,4.2,8.771,0.000987,46.07
1983.25,0.00381,0.451,4.175,8.713,0.000991,45.7
1983.269,0.00387,0.436,4.067,8.762,0.00103,45.34
1983.288,0.00382,0.469,3.872,8.809,0.00106,44.97
1983.308,0.00383,0.469,3.654,8.804,0.00105,44.6
1983.327,0.00337,0.46,3.723,8.816,0.00108,44.23
1983.346,0.00287,0.463,3.568,8.844,0.00109,43.86
1983.365,0.00277,0.47,3.544,8.908,0.00108,43.49
1983.385,0.00299,0.477,3.54,8.925,0.00107,43.12
1983.404,0.00332,0.478,3.457,8.858,0.00107,42.76
1983.423,0.00366,0.476,3.466,8.9,0.00111,42.39
1983.442,0.00345,0.466,3.492,8.889,0.00111,42.02
1983.462,0.0033,0.454,3.488,8.908,0.00112,41.65
1983.481,0.00323,0.473,3.438,8.965,0.00114,41.28
1983.5,0.00312,0.467,3.35,9.038,0.00116,40.91
1983.519,0.00343,0.47,3.272,9.014,0.0012,40.54
1983.538,0.00381,0.461,3.087,9.022,0.00126,40.18
1983.558,0.00396,0.505,3.035,9.029,0.00128,39.81
1983.577,0.0038,0.513,3.076,9.049,0.00128,39.44
1983.596,0.00339,0.528,2.992,9.13,0.00136,39.07
1983.615,0.00297,0.483,3.331,8.886,0.00112,38.7
1983.635,0.00331,0.498,3.587,8.958,0.00116,38.33
1983.654,0.00358,0.486,3.692,8.89,0.00117,37.96
1983.673,0.00455,0.488,3.621,8.949,0.00116,37.6
1983.692,0.00393,0.47,3.623,8.918,0.00114,37.23
1983.712,0.00242,0.453,3.496,9.029,0.00125,36.86
1983.731,0.00245,0.434,3.552,8.986,0.00119,36.49
1983.75,0.00269,0.423,3.495,8.904,0.00117,36.12
1983.769,0.00247,0.418,3.639,8.833,0.00117,35.75
1983.788,0.00271,0.427,3.359,8.979,0.00117,35.38
1983.808,0.00367,0.415,3.505,8.837,0.00114,35.02
1983.827,0.00393,0.445,3.55,8.827,0.0012,34.65
1983.846,0.00346,0.423,3.616,8.923,0.00112,34.28
1983.865,0.00331,0.424,3.373,8.781,0.00111,33.91
1983.885,0.00337,0.434,3.611,8.638,0.00106,33.54
1983.904,0.0032,0.407,3.903,8.637,0.00101,33.17
1983.923,0.00225,0.409,3.828,8.761,0.00105,32.8
1983.942,0.00412,0.429,3.558,8.843,0.00119,32.44
1983.962,0.00296,0.424,3.612,8.788,0.00112,32.07
1983.981,0.003,0.427,3.7,8.702,0.00101,31.7
1984,0.00404,0.439,3.746,8.744,0.00107,31.33
1984.019,0.00374,0.439,4.118,8.823,0.000974,30.96
1984.038,0.00459,0.453,4.706,8.713,0.000925,30.59
1984.058,0.00402,0.461,4.507,8.751,0.000963,30.22
1984.077,0.00362,0.44,4.123,8.699,0.000978,29.86
1984.096,0.00494,0.431,3.975,8.798,0.001,29.49
1984.115,0.00438,0.42,4.125,8.602,0.000985,29.12
1984.135,0.00439,0.419,4.111,8.76,0.000992,28.75
1984.154,0.00381,0.409,3.991,8.68,0.00102,28.38
1984.173,0.00442,0.436,3.689,8.8,0.00107,28.01
1984.192,0.00465,0.446,3.639,8.818,0.00109,27.64
1984.212,0.00391,0.456,4.093,8.672,0.000969,27.28
1984.231,0.00396,0.438,4.111,8.715,0.000981,26.91
1984.25,0.00392,0.456,4.174,8.71,0.000984,26.54
1984.269,0.00559,0.474,3.864,8.722,0.00103,26.17
1984.288,0.00466,0.455,3.836,8.826,0.00111,25.8
1984.308,0.00396,0.449,3.64,8.91,0.00114,25.43
1984.327,0.00328,0.444,3.899,8.819,0.00106,25.06
1984.346,0.0038,0.445,3.68,8.798,0.00109,24.7
1984.365,0.00565,0.489,3.415,8.817,0.00112,24.33
1984.385,0.00486,0.499,3.401,8.958,0.00121,23.96
1984.404,0.00413,0.512,3.724,8.856,0.00109,23.59
1984.423,0.00404,0.51,3.651,9.052,0.00115,23.22
1984.442,0.00362,0.518,3.214,8.983,0.00125,22.85
1984.462,0.00356,0.521,3.256,9.147,0.00127,22.48
1984.481,0.00343,0.528,2.986,9.202,0.0013,22.12
1984.5,0.00366,0.514,3.042,9.102,0.00136,21.75
1984.519,0.00343,0.51,3.016,9.142,0.00133,21.38
1984.538,0.00357,0.502,3.203,9.127,0.0013,21.01
1984.558,0.00356,0.473,3.18,9.16,0.00128,20.64
1984.577,0.00314,0.474,3.339,9.094,0.00119,20.27
1984.596,0.00299,0.475,3.513,8.935,0.00113,19.9
1984.615,0.00279,0.467,3.537,8.792,0.00109,19.54
1984.635,0.00315,0.474,3.582,8.811,0.00112,19.17
1984.654,0.00337,0.482,3.546,8.887,0.00114,18.8
1984.673,0.00309,0.484,3.492,8.81,0.00117,18.43
1984.692,0.0032,0.473,3.63,8.93,0.00116,18.06
1984.712,0.00313,0.483,3.679,8.826,0.00113,17.69
